date,open,low,high,close,volume
2023-07-26 09:51:00,2.9,2.9,2.9599,2.9599,805
2023-07-26 09:43:00,2.9664,2.9664,2.9664,2.9664,105
2023-07-26 09:42:00,2.905,2.905,2.91,2.91,286
2023-07-26 09:30:00,2.95,2.95,2.95,2.95,104
2023-07-27 15:59:00,2.86,2.86,2.86,2.86,320
2023-07-27 15:52:00,2.86,2.86,2.91,2.91,564
2023-07-27 15:36:00,2.87,2.84,2.89,2.89,1500
2023-07-27 15:35:00,2.89,2.87,2.89,2.87,1500
2023-07-27 15:34:00,2.9,2.87,2.9,2.89,3300
2023-07-27 15:33:00,2.91,2.89,2.91,2.91,1000
2023-07-27 15:31:00,2.9224,2.9224,2.9224,2.9224,110
2023-07-27 15:25:00,2.93,2.93,2.93,2.93,796
2023-07-27 15:13:00,2.88,2.88,2.88,2.88,200
2023-07-27 15:12:00,2.8501,2.8501,2.8501,2.8501,100
2023-07-27 15:09:00,2.8501,2.8501,2.8501,2.8501,500
2023-07-27 15:04:00,2.88,2.88,2.88,2.88,300
2023-07-27 15:02:00,2.8815,2.8815,2.8815,2.8815,500
2023-07-27 15:01:00,2.85,2.85,2.9,2.9,1763
2023-07-27 14:59:00,2.8601,2.86,2.862,2.86,1303
2023-07-27 14:16:00,2.89,2.89,2.89,2.89,100
2023-07-27 14:15:00,2.85,2.85,2.9,2.9,471
2023-07-27 14:14:00,2.871,2.85,2.871,2.85,2300
2023-07-27 14:01:00,2.9,2.9,2.9,2.9,300
2023-07-27 13:56:00,2.93,2.93,2.93,2.93,300
2023-07-27 13:55:00,2.89,2.89,2.89,2.89,250
2023-07-27 13:34:00,2.95,2.95,2.95,2.95,103
2023-07-27 13:33:00,2.9231,2.9231,2.9231,2.9231,150
2023-07-27 13:32:00,2.9,2.88,2.91,2.91,2070
2023-07-27 13:20:00,2.93,2.93,2.95,2.95,5000
2023-07-27 13:10:00,2.939,2.939,2.939,2.939,150
2023-07-27 13:05:00,2.95,2.87,2.95,2.915,700
2023-07-27 13:02:00,2.81,2.81,2.9355,2.9355,283
2023-07-27 13:01:00,2.9,2.83,2.9,2.83,6049
2023-07-27 12:29:00,2.95,2.95,2.95,2.95,400
2023-07-27 12:28:00,2.9832,2.9832,2.9832,2.9832,118
2023-07-27 11:07:00,2.95,2.95,2.95,2.95,200
2023-07-27 10:22:00,3.0,3.0,3.0,3.0,103
2023-07-27 10:21:00,2.9,2.899,2.9,2.899,1600
2023-07-27 10:19:00,2.9,2.85,2.9,2.8942,1670
2023-07-27 10:18:00,2.92,2.92,2.954,2.954,505
2023-07-27 10:16:00,2.921,2.92,2.922,2.9201,1300
2023-07-27 10:14:00,2.96,2.96,2.96,2.96,120
2023-07-27 10:01:00,3.01,3.01,3.01,3.01,400
2023-07-27 09:58:00,2.9589,2.9589,2.9589,2.9589,200
2023-07-27 09:41:00,3.0099,3.0099,3.01,3.01,210
2023-07-27 09:40:00,2.9311,2.9311,2.9311,2.9311,525
2023-07-27 09:34:00,2.975,2.94,2.975,2.95,3250
2023-07-27 09:33:00,2.95,2.92,2.97,2.9501,2963
2023-07-27 09:32:00,2.955,2.955,2.955,2.955,105
2023-07-27 09:31:00,2.9201,2.9201,2.9201,2.9201,150
2023-07-28 15:59:00,2.86,2.86,2.86,2.86,217
2023-07-28 15:58:00,2.8671,2.86,2.87,2.86,653
2023-07-28 15:57:00,2.86,2.86,2.86,2.86,160
2023-07-28 15:55:00,2.88,2.88,2.88,2.88,100
2023-07-28 15:52:00,2.87,2.87,2.8701,2.8701,400
2023-07-28 15:51:00,2.87,2.87,2.87,2.87,123
2023-07-28 15:44:00,2.8865,2.8865,2.8865,2.8865,650
2023-07-28 15:42:00,2.85,2.85,2.87,2.87,505
2023-07-28 15:38:00,2.86,2.86,2.86,2.86,600
2023-07-28 15:35:00,2.86,2.86,2.9,2.9,1500
2023-07-28 15:34:00,2.88,2.87,2.89,2.87,5903
2023-07-28 15:33:00,2.9,2.882,2.9,2.882,4400
2023-07-28 15:29:00,2.88,2.88,2.88,2.88,247
2023-07-28 15:26:00,2.93,2.9,2.932,2.9201,2312
2023-07-28 15:25:00,2.98,2.98,3.0,3.0,400
2023-07-28 15:16:00,2.951,2.951,2.951,2.951,105
2023-07-28 15:15:00,2.94,2.92,2.94,2.92,958
2023-07-28 15:14:00,2.9481,2.9481,2.9481,2.9481,200
2023-07-28 14:53:00,2.93,2.93,2.9999,2.9999,500
2023-07-28 14:47:00,2.93,2.93,2.93,2.93,1011
2023-07-28 14:43:00,3.0,3.0,3.0,3.0,127
2023-07-28 13:46:00,2.97,2.965,2.97,2.965,300
2023-07-28 12:56:00,2.96,2.96,2.96,2.96,100
2023-07-28 12:40:00,2.9841,2.9841,2.9841,2.9841,150
2023-07-28 12:38:00,2.92,2.92,2.92,2.92,400
2023-07-28 12:08:00,2.9894,2.9894,2.9894,2.9894,125
2023-07-28 11:40:00,2.98,2.98,2.98,2.98,100
2023-07-28 11:36:00,2.96,2.96,2.96,2.96,100
2023-07-28 10:25:00,2.9992,2.9992,2.9992,2.9992,500
2023-07-28 10:12:00,3.0,3.0,3.0,3.0,3000
2023-07-28 10:02:00,2.9201,2.9201,3.04,3.04,602
2023-07-28 10:00:00,3.0098,3.0098,3.0098,3.0098,185
2023-07-28 09:54:00,2.979,2.979,3.02,2.98,3500
2023-07-28 09:53:00,2.99,2.9699,3.01,2.99,3229
2023-07-28 09:42:00,2.955,2.955,2.96,2.96,300
2023-07-28 09:41:00,2.955,2.955,2.955,2.955,300
2023-07-28 09:40:00,2.955,2.955,2.955,2.955,300
2023-07-28 09:30:00,2.91,2.88,2.9434,2.9434,477
2023-07-31 15:59:00,2.82,2.82,2.8401,2.8401,465
2023-07-31 15:58:00,2.84,2.84,2.84,2.84,397
2023-07-31 15:57:00,2.86,2.86,2.86,2.86,229
2023-07-31 15:56:00,2.86,2.86,2.86,2.86,100
2023-07-31 15:55:00,2.86,2.86,2.86,2.86,100
2023-07-31 15:54:00,2.86,2.86,2.86,2.86,100
2023-07-31 15:51:00,2.86,2.86,2.86,2.86,100
2023-07-31 15:48:00,2.875,2.875,2.875,2.875,100
2023-07-31 15:44:00,2.86,2.86,2.86,2.86,100
2023-07-31 15:40:00,2.86,2.86,2.86,2.86,101
2023-07-31 15:29:00,2.86,2.86,2.86,2.86,657
2023-07-31 15:27:00,2.84,2.84,2.84,2.84,110
2023-07-31 15:15:00,2.855,2.855,2.855,2.855,200
2023-07-31 15:12:00,2.83,2.81,2.83,2.81,667
2023-07-31 15:08:00,2.84,2.84,2.84,2.84,100
2023-07-31 15:03:00,2.8425,2.8425,2.8425,2.8425,186
2023-07-31 15:01:00,2.885,2.885,2.885,2.885,125
2023-07-31 14:57:00,2.87,2.84,2.87,2.8409,2704
2023-07-31 14:56:00,2.91,2.91,2.91,2.91,808
2023-07-31 14:32:00,2.85,2.85,2.85,2.85,100
2023-07-31 14:18:00,2.87,2.87,2.87,2.87,100
2023-07-31 14:17:00,2.87,2.87,2.87,2.87,100
2023-07-31 14:11:00,2.88,2.88,2.88,2.88,103
2023-07-31 14:10:00,2.88,2.88,2.88,2.88,1243
2023-07-31 14:09:00,2.855,2.855,2.88,2.88,1946
2023-07-31 14:05:00,2.85,2.85,2.85,2.85,100
2023-07-31 14:00:00,2.865,2.865,2.865,2.865,100
2023-07-31 13:56:00,2.8899,2.8899,2.8899,2.8899,300
2023-07-31 13:51:00,2.85,2.85,2.85,2.85,100
2023-07-31 13:36:00,2.84,2.84,2.885,2.885,700
2023-07-31 13:12:00,2.885,2.885,2.885,2.885,100
2023-07-31 13:05:00,2.85,2.85,2.85,2.85,100
2023-07-31 12:52:00,2.84,2.84,2.84,2.84,639
2023-07-31 12:38:00,2.89,2.89,2.89,2.89,125
2023-07-31 12:35:00,2.84,2.84,2.84,2.84,100
2023-07-31 12:29:00,2.93,2.93,2.93,2.93,125
2023-07-31 12:28:00,2.8496,2.8496,2.8496,2.8496,750
2023-07-31 12:27:00,2.854,2.854,2.854,2.854,250
2023-07-31 12:21:00,2.87,2.87,2.87,2.87,100
2023-07-31 12:18:00,2.9272,2.9272,2.9272,2.9272,100
2023-07-31 12:07:00,2.87,2.87,2.87,2.87,100
2023-07-31 11:54:00,2.87,2.87,2.87,2.87,100
2023-07-31 11:43:00,2.87,2.87,2.87,2.87,100
2023-07-31 11:41:00,2.87,2.87,2.87,2.87,100
2023-07-31 11:34:00,2.92,2.8705,2.92,2.8705,2200
2023-07-31 11:28:00,2.88,2.88,2.88,2.88,100
2023-07-31 11:21:00,2.8701,2.8701,2.8701,2.8701,100
2023-07-31 11:18:00,2.88,2.8705,2.88,2.8705,1001
2023-07-31 10:17:00,2.96,2.96,2.9601,2.9601,1550
2023-07-31 10:16:00,2.93,2.93,2.94,2.9393,2000
2023-07-31 10:15:00,2.9881,2.9881,2.9881,2.9881,500
2023-07-31 10:13:00,2.97,2.94,2.97,2.97,1002
2023-07-31 09:42:00,2.9,2.9,2.9,2.9,1110
2023-07-31 09:41:00,2.9,2.9,2.9,2.9,100
2023-07-31 09:30:00,2.9,2.9,2.9,2.9,284
2023-08-01 15:59:00,2.76,2.76,2.79,2.79,452
2023-08-01 15:58:00,2.81,2.77,2.81,2.7701,1296
2023-08-01 15:56:00,2.78,2.77,2.78,2.77,229
2023-08-01 15:54:00,2.79,2.78,2.79,2.78,300
2023-08-01 15:53:00,2.78,2.78,2.78,2.78,100
2023-08-01 15:50:00,2.8,2.8,2.8,2.8,275
2023-08-01 15:45:00,2.8,2.8,2.8,2.8,200
2023-08-01 15:42:00,2.81,2.81,2.815,2.81,1049
2023-08-01 15:41:00,2.83,2.81,2.83,2.81,1628
2023-08-01 15:40:00,2.82,2.82,2.82,2.82,524
2023-08-01 15:39:00,2.77,2.77,2.815,2.815,1559
2023-08-01 14:48:00,2.8,2.8,2.8,2.8,200
2023-08-01 14:43:00,2.785,2.785,2.8,2.8,313
2023-08-01 14:35:00,2.78,2.78,2.78,2.78,200
2023-08-01 13:59:00,2.78,2.78,2.78,2.78,100
2023-08-01 13:50:00,2.78,2.78,2.78,2.78,100
2023-08-01 13:25:00,2.78,2.78,2.78,2.78,100
2023-08-01 13:20:00,2.765,2.765,2.765,2.765,100
2023-08-01 12:52:00,2.8,2.79,2.8,2.79,2331
2023-08-01 12:51:00,2.77,2.77,2.77,2.77,400
2023-08-01 12:50:00,2.77,2.77,2.77,2.77,140
2023-08-01 12:49:00,2.8,2.8,2.8,2.8,200
2023-08-01 12:37:00,2.8,2.8,2.8,2.8,100
2023-08-01 12:25:00,2.8464,2.8464,2.8464,2.8464,200
2023-08-01 12:24:00,2.81,2.81,2.81,2.81,854
2023-08-01 12:10:00,2.81,2.81,2.81,2.81,100
2023-08-01 11:45:00,2.82,2.82,2.82,2.82,100
